combination,generation,Cmax,percentage
hard_simple_tournament,11,1188,-0.04302019315188762
hard_simple_tournament,12,1188,-0.04302019315188762
hard_simple_tournament,13,1188,-0.04302019315188762
hard_simple_tournament,14,1188,-0.04302019315188762
hard_simple_tournament,15,1188,-0.04302019315188762
hard_simple_tournament,16,1188,-0.04302019315188762
hard_simple_tournament,17,1188,-0.04302019315188762
hard_simple_tournament,18,1188,-0.04302019315188762
hard_simple_tournament,19,1188,-0.04302019315188762
hard_simple_tournament,20,1188,-0.04302019315188762
hard_simple_tournament,21,1188,-0.04302019315188762
hard_simple_tournament,22,1188,-0.04302019315188762
hard_simple_tournament,23,1188,-0.04302019315188762
hard_simple_tournament,24,1188,-0.04302019315188762
hard_simple_tournament,25,1188,-0.04302019315188762
hard_simple_tournament,26,1188,-0.04302019315188762
hard_simple_tournament,27,1188,-0.04302019315188762
hard_simple_tournament,28,1188,-0.04302019315188762
hard_simple_tournament,29,1188,-0.04302019315188762
hard_simple_tournament,30,1188,-0.04302019315188762
hard_simple_tournament,31,1188,-0.04302019315188762
hard_simple_tournament,32,1188,-0.04302019315188762
hard_simple_tournament,33,1188,-0.04302019315188762
hard_simple_tournament,34,1188,-0.04302019315188762
hard_simple_tournament,35,1188,-0.04302019315188762
hard_simple_tournament,36,1188,-0.04302019315188762
hard_simple_tournament,37,1188,-0.04302019315188762
hard_simple_tournament,38,1188,-0.04302019315188762
hard_simple_tournament,39,1188,-0.04302019315188762
hard_simple_tournament,40,1188,-0.04302019315188762
hard_simple_tournament,41,1188,-0.04302019315188762
hard_simple_tournament,42,1188,-0.04302019315188762
hard_simple_tournament,43,1188,-0.04302019315188762
hard_simple_tournament,44,1188,-0.04302019315188762
hard_simple_tournament,45,1188,-0.04302019315188762
hard_simple_tournament,46,1188,-0.04302019315188762
hard_simple_tournament,47,1188,-0.04302019315188762
hard_simple_tournament,48,1188,-0.04302019315188762
hard_simple_tournament,49,1188,-0.04302019315188762
hard_simple_tournament,50,1188,-0.04302019315188762
hard_simple_tournament,51,1188,-0.04302019315188762
hard_simple_tournament,52,1188,-0.04302019315188762
hard_simple_tournament,53,1188,-0.04302019315188762
hard_simple_tournament,54,1188,-0.04302019315188762
hard_simple_tournament,55,1188,-0.04302019315188762
hard_simple_tournament,56,1188,-0.04302019315188762
hard_simple_tournament,57,1188,-0.04302019315188762
hard_simple_tournament,58,1188,-0.04302019315188762
hard_simple_tournament,59,1188,-0.04302019315188762
hard_simple_tournament,60,1188,-0.04302019315188762
hard_simple_tournament,61,1188,-0.04302019315188762
hard_simple_tournament,62,1188,-0.04302019315188762
hard_simple_tournament,63,1188,-0.04302019315188762
hard_simple_tournament,64,1188,-0.04302019315188762
hard_simple_tournament,65,1188,-0.04302019315188762
hard_simple_tournament,66,1188,-0.04302019315188762
hard_simple_tournament,67,1188,-0.04302019315188762
hard_simple_tournament,68,1188,-0.04302019315188762
hard_simple_tournament,69,1188,-0.04302019315188762
hard_simple_tournament,70,1188,-0.04302019315188762
hard_simple_tournament,71,1188,-0.04302019315188762
hard_simple_tournament,72,1188,-0.04302019315188762
hard_simple_tournament,73,1188,-0.04302019315188762
hard_simple_tournament,74,1188,-0.04302019315188762
hard_simple_tournament,75,1188,-0.04302019315188762
hard_simple_tournament,76,1188,-0.04302019315188762
hard_simple_tournament,77,1188,-0.04302019315188762
hard_simple_tournament,78,1188,-0.04302019315188762
hard_simple_tournament,79,1188,-0.04302019315188762
hard_simple_tournament,80,1188,-0.04302019315188762
hard_simple_tournament,81,1188,-0.04302019315188762
hard_simple_tournament,82,1188,-0.04302019315188762
hard_simple_tournament,83,1188,-0.04302019315188762
hard_simple_tournament,84,1188,-0.04302019315188762
hard_simple_tournament,85,1188,-0.04302019315188762
hard_simple_tournament,86,1188,-0.04302019315188762
