Population Size,Mutation Rate,Generations,Cmax,percentage
200,0.5,1500,147,0.0392156862745098
200,0.5,2000,148,0.032679738562091505
300,0.1,500,152,0.006535947712418301
300,0.1,1000,151,0.013071895424836602
300,0.1,1500,153,0.0
300,0.1,2000,151,0.013071895424836602
300,0.2,500,151,0.013071895424836602
300,0.2,1000,150,0.0196078431372549
300,0.2,1500,153,0.0
300,0.2,2000,152,0.006535947712418301
300,0.3,500,153,0.0
300,0.3,1000,148,0.032679738562091505
300,0.3,1500,153,0.0
300,0.3,2000,148,0.032679738562091505
300,0.4,500,152,0.006535947712418301
300,0.4,1000,148,0.032679738562091505
300,0.4,1500,151,0.013071895424836602
300,0.4,2000,146,0.0457516339869281
300,0.5,500,148,0.032679738562091505
300,0.5,1000,148,0.032679738562091505
300,0.5,1500,148,0.032679738562091505
300,0.5,2000,148,0.032679738562091505
50,0.1,500,139,-0.007246376811594203
50,0.1,1000,138,0.0
50,0.1,1500,139,-0.007246376811594203
50,0.1,2000,139,-0.007246376811594203
50,0.2,500,138,0.0
50,0.2,1000,138,0.0
50,0.2,1500,138,0.0
50,0.2,2000,138,0.0
50,0.3,500,138,0.0
50,0.3,1000,138,0.0
50,0.3,1500,138,0.0
50,0.3,2000,138,0.0
50,0.4,500,138,0.0
50,0.4,1000,138,0.0
50,0.4,1500,138,0.0
50,0.4,2000,138,0.0
50,0.5,500,138,0.0
50,0.5,1000,138,0.0
50,0.5,1500,138,0.0
50,0.5,2000,138,0.0
100,0.1,500,138,0.0
100,0.1,1000,139,-0.007246376811594203
100,0.1,1500,138,0.0
100,0.1,2000,138,0.0
100,0.2,500,138,0.0
100,0.2,1000,138,0.0
100,0.2,1500,138,0.0
100,0.2,2000,138,0.0
100,0.3,500,138,0.0
100,0.3,1000,138,0.0
100,0.3,1500,138,0.0
100,0.3,2000,138,0.0
100,0.4,500,138,0.0
100,0.4,1000,138,0.0
100,0.4,1500,138,0.0
100,0.4,2000,138,0.0
100,0.5,500,138,0.0
100,0.5,1000,137,0.007246376811594203
100,0.5,1500,138,0.0
100,0.5,2000,138,0.0
200,0.1,500,138,0.0
200,0.1,1000,138,0.0
200,0.1,1500,138,0.0
200,0.1,2000,138,0.0
200,0.2,500,138,0.0
200,0.2,1000,138,0.0
200,0.2,1500,138,0.0
200,0.2,2000,138,0.0
200,0.3,500,138,0.0
200,0.3,1000,138,0.0
200,0.3,1500,138,0.0
200,0.3,2000,138,0.0
200,0.4,500,138,0.0
200,0.4,1000,138,0.0
200,0.4,1500,138,0.0
200,0.4,2000,138,0.0
200,0.5,500,138,0.0
200,0.5,1000,138,0.0
200,0.5,1500,138,0.0
200,0.5,2000,138,0.0
300,0.1,500,138,0.0
300,0.1,1000,138,0.0
300,0.1,1500,138,0.0
300,0.1,2000,137,0.007246376811594203
300,0.2,500,138,0.0
300,0.2,1000,138,0.0
300,0.2,1500,138,0.0
300,0.2,2000,138,0.0
300,0.3,500,138,0.0
300,0.3,1000,138,0.0
300,0.3,1500,138,0.0
300,0.3,2000,138,0.0
300,0.4,500,138,0.0
300,0.4,1000,138,0.0
300,0.4,1500,138,0.0
300,0.4,2000,138,0.0
300,0.5,500,138,0.0
300,0.5,1000,138,0.0
300,0.5,1500,138,0.0
300,0.5,2000,138,0.0
50,0.1,500,153,0.019230769230769232
50,0.1,1000,157,-0.00641025641025641
50,0.1,1500,154,0.01282051282051282
50,0.1,2000,153,0.019230769230769232
50,0.2,500,153,0.019230769230769232
50,0.2,1000,153,0.019230769230769232
50,0.2,1500,153,0.019230769230769232
50,0.2,2000,153,0.019230769230769232
50,0.3,500,153,0.019230769230769232
50,0.3,1000,153,0.019230769230769232
50,0.3,1500,153,0.019230769230769232
50,0.3,2000,153,0.019230769230769232
50,0.4,500,153,0.019230769230769232
50,0.4,1000,153,0.019230769230769232
50,0.4,1500,153,0.019230769230769232
50,0.4,2000,153,0.019230769230769232
50,0.5,500,153,0.019230769230769232
50,0.5,1000,153,0.019230769230769232
50,0.5,1500,153,0.019230769230769232
50,0.5,2000,153,0.019230769230769232
100,0.1,500,155,0.00641025641025641
100,0.1,1000,153,0.019230769230769232
100,0.1,1500,153,0.019230769230769232
100,0.1,2000,153,0.019230769230769232
100,0.2,500,153,0.019230769230769232
100,0.2,1000,153,0.019230769230769232
100,0.2,1500,153,0.019230769230769232
100,0.2,2000,153,0.019230769230769232
100,0.3,500,153,0.019230769230769232
100,0.3,1000,153,0.019230769230769232
100,0.3,1500,153,0.019230769230769232
100,0.3,2000,153,0.019230769230769232
100,0.4,500,153,0.019230769230769232
100,0.4,1000,153,0.019230769230769232
100,0.4,1500,153,0.019230769230769232
100,0.4,2000,153,0.019230769230769232
100,0.5,500,153,0.019230769230769232
100,0.5,1000,153,0.019230769230769232
100,0.5,1500,153,0.019230769230769232
100,0.5,2000,153,0.019230769230769232
200,0.1,500,154,0.01282051282051282
200,0.1,1000,153,0.019230769230769232
200,0.1,1500,153,0.019230769230769232
200,0.1,2000,153,0.019230769230769232
200,0.2,500,153,0.019230769230769232
200,0.2,1000,153,0.019230769230769232
200,0.2,1500,153,0.019230769230769232
200,0.2,2000,153,0.019230769230769232
200,0.3,500,153,0.019230769230769232
200,0.3,1000,153,0.019230769230769232
200,0.3,1500,153,0.019230769230769232
200,0.3,2000,153,0.019230769230769232
200,0.4,500,153,0.019230769230769232
200,0.4,1000,153,0.019230769230769232
200,0.4,1500,153,0.019230769230769232
200,0.4,2000,153,0.019230769230769232
200,0.5,500,153,0.019230769230769232
200,0.5,1000,153,0.019230769230769232
200,0.5,1500,153,0.019230769230769232
200,0.5,2000,153,0.019230769230769232
300,0.1,500,153,0.019230769230769232
300,0.1,1000,153,0.019230769230769232
300,0.1,1500,153,0.019230769230769232
300,0.1,2000,153,0.019230769230769232
300,0.2,500,153,0.019230769230769232
300,0.2,1000,153,0.019230769230769232
300,0.2,1500,153,0.019230769230769232
300,0.2,2000,153,0.019230769230769232
300,0.3,500,153,0.019230769230769232
300,0.3,1000,153,0.019230769230769232
300,0.3,1500,153,0.019230769230769232
300,0.3,2000,153,0.019230769230769232
300,0.4,500,153,0.019230769230769232
300,0.4,1000,153,0.019230769230769232
300,0.4,1500,153,0.019230769230769232
300,0.4,2000,153,0.019230769230769232
300,0.5,500,153,0.019230769230769232
300,0.5,1000,153,0.019230769230769232
300,0.5,1500,153,0.019230769230769232
300,0.5,2000,153,0.019230769230769232
50,0.1,500,178,-0.047058823529411764
50,0.1,1000,172,-0.011764705882352941
50,0.1,1500,173,-0.01764705882352941
50,0.1,2000,174,-0.023529411764705882
50,0.2,500,176,-0.03529411764705882
50,0.2,1000,170,0.0
50,0.2,1500,166,0.023529411764705882
50,0.2,2000,175,-0.029411764705882353
50,0.3,500,177,-0.041176470588235294
50,0.3,1000,169,0.0058823529411764705
50,0.3,1500,177,-0.041176470588235294
50,0.3,2000,170,0.0
50,0.4,500,176,-0.03529411764705882
50,0.4,1000,170,0.0
50,0.4,1500,170,0.0
50,0.4,2000,172,-0.011764705882352941
50,0.5,500,170,0.0
50,0.5,1000,170,0.0
50,0.5,1500,170,0.0
50,0.5,2000,172,-0.011764705882352941
100,0.1,500,176,-0.03529411764705882
100,0.1,1000,174,-0.023529411764705882
100,0.1,1500,171,-0.0058823529411764705
100,0.1,2000,176,-0.03529411764705882
100,0.2,500,174,-0.023529411764705882
100,0.2,1000,176,-0.03529411764705882
100,0.2,1500,172,-0.011764705882352941
100,0.2,2000,172,-0.011764705882352941
100,0.3,500,172,-0.011764705882352941
100,0.3,1000,171,-0.0058823529411764705
100,0.3,1500,175,-0.029411764705882353
100,0.3,2000,174,-0.023529411764705882
100,0.4,500,170,0.0
100,0.4,1000,171,-0.0058823529411764705
100,0.4,1500,170,0.0
100,0.4,2000,172,-0.011764705882352941
100,0.5,500,172,-0.011764705882352941
100,0.5,1000,170,0.0
100,0.5,1500,170,0.0
100,0.5,2000,171,-0.0058823529411764705
200,0.1,500,175,-0.029411764705882353
200,0.1,1000,170,0.0
200,0.1,1500,175,-0.029411764705882353
200,0.1,2000,170,0.0
200,0.2,500,172,-0.011764705882352941
200,0.2,1000,175,-0.029411764705882353
200,0.2,1500,176,-0.03529411764705882
200,0.2,2000,175,-0.029411764705882353
200,0.3,500,170,0.0
200,0.3,1000,169,0.0058823529411764705
200,0.3,1500,170,0.0
200,0.3,2000,174,-0.023529411764705882
200,0.4,500,176,-0.03529411764705882
200,0.4,1000,170,0.0
200,0.4,1500,170,0.0
200,0.4,2000,170,0.0
200,0.5,500,174,-0.023529411764705882
200,0.5,1000,170,0.0
200,0.5,1500,172,-0.011764705882352941
200,0.5,2000,170,0.0
300,0.1,500,174,-0.023529411764705882
300,0.1,1000,170,0.0
300,0.1,1500,171,-0.0058823529411764705
300,0.1,2000,176,-0.03529411764705882
300,0.2,500,174,-0.023529411764705882
300,0.2,1000,172,-0.011764705882352941
300,0.2,1500,171,-0.0058823529411764705
300,0.2,2000,172,-0.011764705882352941
300,0.3,500,174,-0.023529411764705882
300,0.3,1000,170,0.0
300,0.3,1500,170,0.0
300,0.3,2000,172,-0.011764705882352941
300,0.4,500,170,0.0
300,0.4,1000,172,-0.011764705882352941
300,0.4,1500,170,0.0
300,0.4,2000,170,0.0
300,0.5,500,170,0.0
300,0.5,1000,170,0.0
300,0.5,1500,170,0.0
300,0.5,2000,170,0.0
50,0.1,500,147,-0.027972027972027972
50,0.1,1000,147,-0.027972027972027972
50,0.1,1500,147,-0.027972027972027972
50,0.1,2000,147,-0.027972027972027972
50,0.2,500,147,-0.027972027972027972
50,0.2,1000,147,-0.027972027972027972
50,0.2,1500,147,-0.027972027972027972
50,0.2,2000,147,-0.027972027972027972
50,0.3,500,147,-0.027972027972027972
50,0.3,1000,147,-0.027972027972027972
50,0.3,1500,145,-0.013986013986013986
50,0.3,2000,147,-0.027972027972027972
50,0.4,500,144,-0.006993006993006993
50,0.4,1000,143,0.0
50,0.4,1500,147,-0.027972027972027972
50,0.4,2000,143,0.0
50,0.5,500,143,0.0
50,0.5,1000,146,-0.02097902097902098
50,0.5,1500,146,-0.02097902097902098
50,0.5,2000,145,-0.013986013986013986
100,0.1,500,147,-0.027972027972027972
100,0.1,1000,152,-0.06293706293706294
100,0.1,1500,147,-0.027972027972027972
100,0.1,2000,147,-0.027972027972027972
100,0.2,500,147,-0.027972027972027972
100,0.2,1000,147,-0.027972027972027972
100,0.2,1500,147,-0.027972027972027972
100,0.2,2000,147,-0.027972027972027972
100,0.3,500,143,0.0
100,0.3,1000,144,-0.006993006993006993
100,0.3,1500,147,-0.027972027972027972
100,0.3,2000,146,-0.02097902097902098
100,0.4,500,143,0.0
100,0.4,1000,146,-0.02097902097902098
100,0.4,1500,143,0.0
100,0.4,2000,146,-0.02097902097902098
100,0.5,500,146,-0.02097902097902098
100,0.5,1000,144,-0.006993006993006993
100,0.5,1500,143,0.0
100,0.5,2000,146,-0.02097902097902098
200,0.1,500,147,-0.027972027972027972
200,0.1,1000,147,-0.027972027972027972
200,0.1,1500,147,-0.027972027972027972
200,0.1,2000,147,-0.027972027972027972
200,0.2,500,147,-0.027972027972027972
200,0.2,1000,147,-0.027972027972027972
200,0.2,1500,147,-0.027972027972027972
200,0.2,2000,147,-0.027972027972027972
200,0.3,500,147,-0.027972027972027972
200,0.3,1000,146,-0.02097902097902098
200,0.3,1500,147,-0.027972027972027972
200,0.3,2000,146,-0.02097902097902098
200,0.4,500,146,-0.02097902097902098
200,0.4,1000,143,0.0
200,0.4,1500,143,0.0
200,0.4,2000,143,0.0
200,0.5,500,146,-0.02097902097902098
200,0.5,1000,143,0.0
200,0.5,1500,143,0.0
200,0.5,2000,144,-0.006993006993006993
300,0.1,500,147,-0.027972027972027972
300,0.1,1000,147,-0.027972027972027972
300,0.1,1500,147,-0.027972027972027972
300,0.1,2000,147,-0.027972027972027972
300,0.2,500,144,-0.006993006993006993
300,0.2,1000,147,-0.027972027972027972
300,0.2,1500,146,-0.02097902097902098
300,0.2,2000,147,-0.027972027972027972
300,0.3,500,146,-0.02097902097902098
300,0.3,1000,147,-0.027972027972027972
300,0.3,1500,144,-0.006993006993006993
300,0.3,2000,146,-0.02097902097902098
300,0.4,500,144,-0.006993006993006993
300,0.4,1000,143,0.0
300,0.4,1500,146,-0.02097902097902098
300,0.4,2000,143,0.0
300,0.5,500,143,0.0
300,0.5,1000,145,-0.013986013986013986
300,0.5,1500,143,0.0
300,0.5,2000,143,0.0
50,0.1,500,148,-0.03496503496503497
50,0.1,1000,142,0.006993006993006993
50,0.1,1500,143,0.0
50,0.1,2000,146,-0.02097902097902098
50,0.2,500,146,-0.02097902097902098
50,0.2,1000,147,-0.027972027972027972
50,0.2,1500,144,-0.006993006993006993
50,0.2,2000,143,0.0
50,0.3,500,144,-0.006993006993006993
50,0.3,1000,145,-0.013986013986013986
50,0.3,1500,144,-0.006993006993006993
50,0.3,2000,144,-0.006993006993006993
50,0.4,500,146,-0.02097902097902098
50,0.4,1000,141,0.013986013986013986
50,0.4,1500,145,-0.013986013986013986
50,0.4,2000,143,0.0
50,0.5,500,144,-0.006993006993006993
50,0.5,1000,145,-0.013986013986013986
50,0.5,1500,144,-0.006993006993006993
50,0.5,2000,145,-0.013986013986013986
100,0.1,500,143,0.0
100,0.1,1000,146,-0.02097902097902098
100,0.1,1500,147,-0.027972027972027972
100,0.1,2000,144,-0.006993006993006993
100,0.2,500,148,-0.03496503496503497
100,0.2,1000,143,0.0
100,0.2,1500,145,-0.013986013986013986
